Frame,Emotion,Emotion_Confidence,Pose_Roll,Pose_Yaw,Pose_Pitch,Eye_Yaw,Eye_Pitch
150,CALM,87.3974609375,-3.9787490367889404,3.6236026287078857,3.697683334350586,2.367159843444824,-10.790823936462402
151,CALM,81.2939453125,-4.171535968780518,3.675036907196045,3.2723498344421387,2.2920749187469482,-10.651637077331543
152,SURPRISED,58.347354888916016,-4.162037372589111,3.6425693035125732,3.0367236137390137,2.1773669719696045,-10.348974227905273
153,CALM,48.85881805419922,-4.143271446228027,3.8094053268432617,3.3405022621154785,2.3922159671783447,-10.110888481140137
154,CALM,83.7353515625,-3.72774338722229,3.8559343814849854,3.4104740619659424,2.3931820392608643,-10.197680473327637
155,CALM,87.94677734375,-3.6179144382476807,3.562809705734253,3.7095816135406494,2.4062225818634033,-10.577289581298828
156,CALM,84.65087890625,-3.6642074584960938,3.715665102005005,3.8719942569732666,2.1305220127105713,-10.266672134399414
157,CALM,70.283203125,-3.4710686206817627,3.93247652053833,3.8124165534973145,2.533118963241577,-10.357604026794434
158,CALM,47.789249420166016,-3.927920341491699,4.017333507537842,3.34633207321167,2.6862242221832275,-10.895078659057617
159,SURPRISED,90.81688690185547,-3.8601202964782715,4.175939083099365,2.698681116104126,2.6066739559173584,-11.725726127624512
160,SURPRISED,96.98464965820312,-3.463873863220215,3.9327292442321777,2.3885135650634766,2.677992343902588,-11.547082901000977
161,SURPRISED,90.14871215820312,-3.2841999530792236,3.685720205307007,3.041248083114624,2.1934597492218018,-11.4330415725708
162,CALM,44.95256805419922,-3.3501524925231934,3.569376230239868,3.0736067295074463,2.288895606994629,-11.062784194946289
163,SURPRISED,71.04082489013672,-3.3962438106536865,3.6115684509277344,3.2054145336151123,2.516615629196167,-11.113494873046875
164,SURPRISED,95.49410247802734,-3.2569925785064697,3.590613603591919,3.4016427993774414,2.169107675552368,-11.557387351989746
165,SURPRISED,97.361572265625,-3.31575870513916,3.539592742919922,3.494429349899292,1.6208574771881104,-12.338915824890137
166,SURPRISED,96.31647491455078,-3.2070813179016113,3.467590093612671,3.604649305343628,1.6008161306381226,-12.595157623291016
167,SURPRISED,96.79618835449219,-3.177877902984619,3.4955039024353027,3.589000940322876,1.6590074300765991,-12.66135311126709
168,SURPRISED,96.02521514892578,-3.131943941116333,3.3766846656799316,4.025961399078369,1.827528476715088,-12.776557922363281
169,SURPRISED,91.81058502197266,-3.0777626037597656,3.3024613857269287,4.542031764984131,2.3015105724334717,-12.888275146484375
170,CALM,50.386722564697266,-2.9956412315368652,2.885279893875122,4.845892429351807,3.795632839202881,-14.34486198425293
171,CALM,95.95423889160156,-3.0295987129211426,3.0274698734283447,5.50827693939209,4.694986343383789,-19.087627410888672
172,CALM,97.55859375,-3.043349266052246,2.72513484954834,5.631842136383057,5.900661945343018,-21.741138458251953
173,CALM,95.1171875,-3.042062520980835,2.7152857780456543,5.258419990539551,3.978410482406616,-18.06637954711914
174,CALM,89.89990234375,-3.1445152759552,2.8657543659210205,4.614884853363037,3.072493314743042,-14.846848487854004
175,SURPRISED,62.55900192260742,-3.3705198764801025,2.8794517517089844,3.8651111125946045,3.983417510986328,-13.761154174804688
176,SURPRISED,89.69140625,-3.2345268726348877,3.166409730911255,3.4303016662597656,3.3944292068481445,-12.535889625549316
177,SURPRISED,91.33087158203125,-3.0182271003723145,3.388721227645874,3.275275468826294,2.925955057144165,-12.332768440246582
178,SURPRISED,90.08018493652344,-2.8675103187561035,3.5066442489624023,3.151183843612671,2.672109603881836,-11.933732986450195
179,SURPRISED,70.96207427978516,-2.7277815341949463,3.612917184829712,3.0802483558654785,2.4864985942840576,-11.428874015808105
180,SURPRISED,44.95244598388672,-2.559631109237671,3.8223068714141846,2.993293046951294,2.622591972351074,-11.528427124023438
181,CALM,46.115142822265625,-2.508424997329712,3.9618799686431885,3.087068557739258,3.2584636211395264,-11.405888557434082
182,CALM,54.732425689697266,-2.4259867668151855,4.22799015045166,2.961448907852173,3.4723575115203857,-11.712081909179688
183,CALM,74.677734375,-2.4524118900299072,4.366157054901123,2.994623899459839,3.28822922706604,-11.302626609802246
184,CALM,84.58984375,-2.5805506706237793,4.266879558563232,3.238429307937622,3.2356064319610596,-11.237868309020996
185,CALM,83.61328125,-2.6123201847076416,4.558990001678467,3.36439847946167,3.1191391944885254,-10.675268173217773
186,CALM,80.927734375,-2.5312135219573975,4.517224311828613,3.4365429878234863,3.444141387939453,-10.898327827453613
187,CALM,80.3173828125,-2.6869423389434814,4.449383735656738,3.3659744262695312,3.4122419357299805,-11.102829933166504
188,CALM,56.050785064697266,-2.6298391819000244,4.3299713134765625,3.4270081520080566,3.376824378967285,-11.300126075744629
189,CALM,52.291019439697266,-2.7705373764038086,4.448111534118652,3.109761953353882,2.81622052192688,-10.902206420898438
190,CALM,49.788875579833984,-2.8129959106445312,4.521014213562012,3.15677809715271,2.8631536960601807,-10.979759216308594
191,CALM,52.486331939697266,-2.8100478649139404,4.483711242675781,3.043386697769165,3.05125093460083,-11.271745681762695
192,CALM,54.585941314697266,-2.7653350830078125,4.482189655303955,3.1122894287109375,3.437612771987915,-11.221444129943848
193,CALM,54.683597564697266,-2.945965528488159,4.4313225746154785,3.0603911876678467,3.225590229034424,-10.744643211364746
194,CALM,54.195316314697266,-3.0447051525115967,4.340648651123047,3.1616716384887695,3.3590171337127686,-10.683038711547852
195,CALM,58.638675689697266,-3.092471122741699,4.297908306121826,3.100346326828003,3.22887921333313,-10.836577415466309
196,CALM,55.025394439697266,-3.1170761585235596,4.355132102966309,3.292776107788086,3.0514073371887207,-10.534321784973145
197,CALM,59.712894439697266,-3.024216413497925,4.417072772979736,3.5997586250305176,3.7316341400146484,-10.131092071533203
198,CALM,71.259765625,-3.190585136413574,4.524279594421387,3.7199747562408447,3.5672261714935303,-10.131584167480469
199,CALM,57.515628814697266,-3.090363025665283,4.465423583984375,3.985435724258423,4.116973876953125,-10.65709114074707
200,CALM,58.296878814697266,-3.0939011573791504,4.5740790367126465,4.053315162658691,3.8983280658721924,-10.574345588684082
201,CALM,54.781253814697266,-3.2401723861694336,4.399075508117676,3.9873898029327393,4.100555896759033,-10.60660171508789
202,CALM,56.343753814697266,-3.24478816986084,4.180845737457275,4.1083807945251465,3.6592371463775635,-9.793508529663086
203,CALM,40.11625671386719,-3.460071563720703,4.201910495758057,4.1036906242370605,3.407200336456299,-10.797330856323242
204,SURPRISED,61.19130325317383,-3.241467237472534,3.5809478759765625,4.006984233856201,4.031077861785889,-11.246481895446777
205,CALM,97.00055694580078,-3.450340747833252,3.2806835174560547,3.7960705757141113,3.8053762912750244,-12.366226196289062
206,CALM,99.44196319580078,-3.7292022705078125,3.03389048576355,3.8333892822265625,3.5444533824920654,-12.65439510345459
207,CALM,99.58147430419922,-3.7285280227661133,2.923017740249634,3.9590563774108887,3.553818941116333,-12.439055442810059
208,CALM,47.789249420166016,-3.446035146713257,2.7765958309173584,3.6466808319091797,4.1939616203308105,-12.330880165100098
209,SURPRISED,94.29481506347656,-3.3704042434692383,2.592045783996582,3.7766542434692383,4.000080585479736,-11.991893768310547
210,SURPRISED,92.56441497802734,-3.4556221961975098,2.337721109390259,3.5510220527648926,4.204030990600586,-11.680680274963379
211,CALM,43.34821319580078,-3.682722568511963,1.5377600193023682,3.988995313644409,2.2483034133911133,-11.9837064743042
212,CALM,98.88392639160156,-3.9533045291900635,0.74265456199646,4.011295318603516,-10.534201622009277,-13.836748123168945
213,CALM,99.0234375,-4.186183929443359,0.20902350544929504,4.4454522132873535,-11.064215660095215,-14.010232925415039
214,CALM,98.88392639160156,-4.117668628692627,-0.858267068862915,4.733436584472656,-10.995091438293457,-13.623120307922363
215,CALM,99.0234375,-3.9961321353912354,-1.9736398458480835,4.851551055908203,-10.4190673828125,-13.083728790283203
216,SURPRISED,66.80270385742188,-3.982543468475342,-2.8045294284820557,5.1279988288879395,-9.69526481628418,-12.706464767456055
217,SURPRISED,79.2707290649414,-3.962836742401123,-3.475832223892212,5.03596830368042,-9.614855766296387,-12.545254707336426
218,SURPRISED,78.24691772460938,-4.047815322875977,-3.695587635040283,5.655679702758789,-9.234355926513672,-12.240002632141113
219,SURPRISED,87.34765625,-4.079036712646484,-4.0020060539245605,6.01422119140625,-9.484217643737793,-12.124004364013672
220,SURPRISED,84.80859375,-4.1195783615112305,-4.5236077308654785,5.900559425354004,-9.708406448364258,-12.190948486328125
221,SURPRISED,69.92156982421875,-4.195672988891602,-4.444166660308838,5.916084289550781,-9.75972843170166,-12.584197044372559
222,SURPRISED,62.162750244140625,-4.237599849700928,-4.450880527496338,5.983301639556885,-9.621840476989746,-12.513561248779297
223,SURPRISED,63.56880187988281,-4.2349629402160645,-4.507779121398926,6.046924591064453,-9.419798851013184,-13.077013969421387
224,SURPRISED,60.44993591308594,-4.315509796142578,-4.547928333282471,6.046262264251709,-9.279130935668945,-13.777505874633789
225,CALM,82.5146484375,-4.555814743041992,-4.61167573928833,6.105359077453613,-9.203390121459961,-13.997026443481445
226,CALM,99.30245208740234,-4.833364963531494,-4.599340438842773,6.098541736602783,-8.818446159362793,-14.936458587646484
227,CALM,99.30245208740234,-4.79110860824585,-4.547118186950684,5.988844394683838,-8.952093124389648,-14.762092590332031
